Game Name,System Full,Units(m),Publisher,Developer,Release Date
Pac-Man,Atari 2600,7.7,Atari,Atari,1/3/1982
Pitfall!,Atari 2600,4,Activision,Activision,20/04/1982
Frogger,Atari 2600,4,Parker Bros.,Konami,1/1/1982
Missile Command,Atari 2600,2.5,Atari,Atari,1/1/1981
Space Invaders,Atari 2600,2,Atari,Atari,1/1/1978
Adventure,Atari 2600,1,Atari,Atari,1/1/1978
Dragster,Atari 2600,0.5,Activision,Activision,1/1/1980
Entity,Atari 2600,0,CGE?Services?Corporation,CGE Services,9/8/2003
Mission 3000,Atari 2600,0,Bit Corporation,Quelle,1/1/1983
Glib,Atari 2600,0,Unknown,Selchow & Righter,1/1/1983
Phaser Patrol,Atari 2600,0,Unknown,Arcadia,1/1/1982
Kool-Aid Man,Atari 2600,0,Mattel Interactive,Mattel,1/1/1983
Revenge of The Beefsteak Tomatoes,Atari 2600,0,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1983
Snail Against Squirrel,Atari 2600,0,Bit Corporation,Bit Corporation,20/08/1983
Star Strike,Atari 2600,0,Mattel Interactive,Mattel Interactive,1/1/1982
Sword of Saros,Atari 2600,0,Unknown,Starpath Corp.,1/1/1983
DatabaseTestingNA,Atari 2600,0,Unknown,TalonSoft,
Miniature Golf,Atari 2600,0,Atari,Atari,1/1/1979
Video Olympics,Atari 2600,0,Atari,Atari,1/10/1977
Air-Sea Battle,Atari 2600,0.98,Atari,Atari,1/1/1977
Pong Sports,Atari 2600,0,Sears,Telegames,1/1/1977
Bugs,Atari 2600,0,Data Age,Data Age,1/1/1982
Crash Dive,Atari 2600,0,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1982
Starmaster,Atari 2600,0,Activision,Activision,23/06/1982
River Raid,Atari 2600,1.6,Activision,Activision,1/1/1982
Task Force,Atari 2600,0,Unknown,Froggo,1/1/1983
Joust,Atari 2600,1.08,Atari,Atari,1/1/1983
Word Zapper,Atari 2600,0,Vidtec,Vidtec,1/1/1982
Alien,Atari 2600,0.79,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1982
Qb,Atari 2600,0,XYPE,XYPE,1/3/2001
Challenge,Atari 2600,0,Unknown,Funvision,1/1/1980
