Crash ID,State,Month,Year,Decade,Dayweek,Time,Time of Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Holiday Seasons,Age Group,Day of week,Time of day
20234009,SA,10,2023,2020s,Saturday,300,Late Night,Single,No,No,No,100,Driver,Male,22,No,No,No,17_to_25,Weekend,Night
20233087,Qld,10,2023,,Saturday,300,Late Night,Single,No,No,No,80,Driver,Male,19,No,No,No,17_to_25,Weekend,Night
20233149,Qld,10,2023,,Sunday,300,Late Night,Single,No,No,No,60,Passenger,Male,37,No,No,No,26_to_39,Weekend,Night
20233190,Qld,10,2023,,Sunday,300,Late Night,Multiple,No,No,No,100,Motorcycle rider,Male,35,No,No,No,26_to_39,Weekend,Night
20233052,Qld,10,2023,,Saturday,2300,Night,Single,No,No,No,70,Driver,Female,32,No,No,No,26_to_39,Weekend,Night
20235077,WA,10,2023,,Monday,1708,Evening,Single,No,No,No,60,Passenger,Male,29,No,No,No,26_to_39,Weekday,Day
20236005,Tas,10,2023,,Monday,2055,Night,Multiple,No,No,No,80,Driver,Female,51,No,No,No,40_to_64,Weekday,Night
20233149,Qld,10,2023,,Sunday,300,Late Night,Single,No,No,No,60,Passenger,Male,39,No,No,No,26_to_39,Weekend,Night
20236028,Tas,10,2023,,Saturday,315,Late Night,Single,No,No,No,60,Driver,Male,33,No,No,No,26_to_39,Weekend,Night
20231095,NSW,10,2023,,Wednesday,1840,Evening,Single,No,No,No,70,Driver,Male,40,No,No,No,40_to_64,Weekday,Night
20235097,WA,10,2023,,Tuesday,1525,Noon,Single,No,No,No,110,Driver,Male,60,No,No,No,40_to_64,Weekday,Day
20231059,NSW,10,2023,,Friday,2308,Late Night,Single,No,No,No,80,Driver,Male,44,No,No,No,40_to_64,Weekend,Night
20235091,WA,10,2023,,Monday,754,Morning,Single,No,No,No,110,Driver,Female,63,No,No,No,40_to_64,Weekday,Day
20233053,Qld,10,2023,,Sunday,1600,Noon,Multiple,No,No,No,60,Motorcycle rider,Male,27,No,No,No,26_to_39,Weekend,Day
20233035,Qld,10,2023,,Sunday,800,Morning,Single,No,No,No,60,Driver,Male,30,No,No,No,26_to_39,Weekend,Day
20235051,WA,10,2023,,Wednesday,100,Late Night,Single,No,No,No,70,Pedestrian,Female,48,No,No,No,40_to_64,Weekday,Night
20231105,NSW,10,2023,,Friday,1800,Evening,Multiple,No,No,No,70,Motorcycle rider,Male,55,No,No,No,40_to_64,Weekend,Night
20235059,WA,10,2023,,Wednesday,700,Morning,Single,No,No,No,110,Passenger,Female,62,No,No,No,40_to_64,Weekday,Day
20235112,WA,10,2023,,Saturday,1354,Noon,Single,No,No,No,100,Motorcycle rider,Male,45,No,No,No,40_to_64,Weekend,Day
20233196,Qld,10,2023,,Saturday,700,Morning,Multiple,No,No,No,100,Driver,Male,71,No,No,No,65_to_74,Weekend,Day
20235073,WA,10,2023,,Sunday,1437,Noon,Single,No,No,No,110,Driver,Male,67,No,No,No,65_to_74,Weekend,Day
20235062,WA,10,2023,,Saturday,1935,Night,Single,No,No,No,60,Driver,Male,65,No,No,No,65_to_74,Weekend,Night
20231013,NSW,10,2023,,Monday,1630,Noon,Multiple,No,No,No,100,Passenger,Male,18,No,No,No,17_to_25,Weekday,Day
20235077,WA,10,2023,,Monday,1708,Evening,Single,No,No,No,60,Driver,Male,24,No,No,No,17_to_25,Weekday,Day
20233017,Qld,10,2023,,Thursday,1600,Noon,Multiple,No,No,No,50,Motorcycle rider,Male,21,No,No,No,17_to_25,Weekday,Day
20231113,NSW,10,2023,,Saturday,5,Late Night,Single,No,No,No,100,Driver,Male,75,No,No,No,75_or_older,Weekend,Night
20231159,NSW,10,2023,,Thursday,1520,Noon,Multiple,No,No,No,60,Driver,Male,28,No,No,No,26_to_39,Weekday,Day
20234062,SA,10,2023,,Wednesday,925,Morning,Single,No,No,No,100,Passenger,Male,28,No,No,No,26_to_39,Weekday,Day
20233166,Qld,10,2023,,Wednesday,2200,Night,Single,No,No,No,100,Motorcycle rider,Male,47,No,No,No,40_to_64,Weekday,Night
20234067,SA,10,2023,,Sunday,2228,Night,Single,No,No,No,60,Driver,Male,86,No,No,No,75_or_older,Weekend,Night
20231092,NSW,10,2023,,Wednesday,1325,Noon,Single,No,No,No,50,Motorcycle rider,Male,52,No,No,No,40_to_64,Weekday,Day
20231220,NSW,10,2023,,Monday,1020,Morning,Single,No,No,No,100,Motorcycle rider,Male,60,No,No,No,40_to_64,Weekday,Day
